occupation_id,occupation_preferred_label,occupation_hidden_labels,occupation_description,isco_group_concept_type,isco_group_code,isco_preferred_label,isco_group_description,occupation_skill_relation_type,occupation_skill_skill_type,training_description,training_is_online,training_name,training_is_required,training_is_to_acquire
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1111,Legislators,"Legislators determine, formulate and direct policies of national, state, regional or local governments and international governmental agencies, and make, ratify, amend or repeal laws, public rules and regulations. They include elected and non-elected members of parliaments, councils and governments.
Tasks include -
(a)  presiding over or participating in the proceedings of legislative bodies and administrative councils of national, state, regional or local governments or legislative assemblies;
(b)  determining, formulating and directing policies of national, state, regional or local governments;
(c)  making, ratifying, amending or repealing laws, public rules and regulations within a statutory or constitutional framework;
(d)  serving on government administrative boards or official committees;
(e)  investigating matters of concern to the public and promoting the interests of the constituencies which they represent;
(f)  attending community functions and meetings to provide service to the community, understand public opinion and provide information on government plans;
(g)  negotiating with other legislators and representatives of interest groups in order to reconcile differing interests, and to create policies and agreements;
(h)  as members of the government, directing senior administrators and officials of government departments and agencies in the interpretation and implementation of government policies.
Examples of the occupations classified here:
-  City councillor
-  Government minister
-  Mayor
-  Member of parliament
-  President (government)
-  Secretary of state
-  Senator
-  State governor
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1112,Senior government officials,"Senior government officials advise governments on policy matters, oversee the interpretation and implementation of government policies and legislation by government departments and agencies, represent their country abroad and act on its behalf, or carry out similar tasks in intergovernmental organizations. They plan, organize, direct, control and evaluate the overall activities of municipal or local, regional and national government departments, boards, agencies or commissions in accordance with legislation and policies established by government and legislative bodies.
Tasks include -
(a)  advising national, state, regional or local governments and legislators on policy matters;
(b)  advising on the preparation of government budgets, laws and regulations, including amendments;
(c)  establishing objectives for government departments or agencies in accordance with government legislation and policy;
(d)  formulating or approving and evaluating programmes and procedures for the implementation of government policies in conjunction or consultation with government,
(e)  recommending, reviewing, evaluating and approving documents, briefs and reports submitted by middle managers and senior staff members;
(f)  ensuring appropriate systems and procedures are developed and implemented to provide budgetary control;
(g)  coordinating activities with other senior government managers and officials;
(h)  making presentations to legislative and other government committees regarding policies, programmes or budgets;
(i)  overseeing the interpretation and implementation of government policies and legislation by government departments and agencies.
Examples of the occupations classified here:
-  Ambassador
-  City administrator
-  Civil service commissioner
-  Consul-general
-  Director-general (government department)
-  Director-general (intergovernmental organization)
-  Fire commissioner
-  Inspector-general (police)
-  Permanent head (government department)
-  Police chief constable
-  Police commissioner
-  Secretary-general (government administration)
-  Under-secretary (government)


Note
Chief executives of government-owned enterprises are included in Unit Group 1120: Managing Directors and Chief Executives.
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1113,Traditional chiefs and heads of village,"Traditional chiefs and heads of villages perform a variety of legislative, administrative and ceremonial tasks and duties, determined by ancient traditions as well as by the division of rights and responsibilities between village chiefs and the local, regional and national authorities.
Tasks include -
(a)  allocating the use of communal land and other resources among households in the community or village;
(b)  collecting and distributing surplus production of the community or village;
(c)  settling disputes between members of the community or village;
(d)  disciplining members of the community or village for violation of rules and customs;
(e)  performing ceremonial duties in connection with births, marriages, deaths, harvests and other important occasions;
(f)  representing the community or village on local or regional councils;
(g)  informing the community or village about government rules and regulations.
Examples of the occupations classified here:
-  Village chief
-  Village head
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1114,Senior officials of special-interest organisations,"Senior officials of special-interest organizations determine, formulate and direct the implementation of policies of special-interest organizations, such as political-party organizations, trade unions, employers",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,112,Managing directors and chief executives,"Managing directors and chief executives formulate and review the policies, and plan, direct, coordinate and evaluate the overall activities, of enterprises or organizations (except special-interest organizations and government departments) with the support of other managers, usually within guidelines established by a board of directors or a governing body to whom they are answerable for the operations undertaken and results.
Tasks performed usually include: planning, directing and coordinating the general functioning of an enterprise or organization; reviewing the operations and results of the enterprise or organization, and reporting to boards of directors and governing bodies; determining objectives, strategies, policies and programmes for the enterprise or organization; providing overall direction and management to organizations; establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources; authorizing material, human and financial resources to implement organizational policies and programmes; monitoring and evaluating performance of the organization or enterprise against established objectives and policies; consulting with senior subordinate staff and reviewing recommendations and reports; representing the organization at official occasions, in negotiations and at conventions, seminars, public hearings and forums; selecting or approving the selection of senior staff; ensuring the organization complies with relevant legislation and regulations.
Occupations in this minor group are classified into the following unit group:
1120  Managing Directors and Chief Executives",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1120,Managing directors and chief executives,"Managing directors and chief executives formulate and review the policies, and plan, direct, coordinate and evaluate the overall activities, of enterprises or organizations (except special-interest organizations and government departments) with the support of other managers, usually within guidelines established by a board of directors or a governing body to whom they are answerable for the operations undertaken and results.
Tasks include -
(a) planning, directing and coordinating the general functioning of an enterprise or organization;
(b) reviewing the operations and results of the enterprise or organization and reporting to boards of directors and governing bodies;
(c) determining objectives, strategies, policies and programmes for the enterprise or organization;
(d) providing overall leadership and management to the enterprise or organization;
(e) establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;
(f) authorizing material, human and financial resources to implement organizational policies and programmes;
(g) monitoring and evaluating performance of the organization or enterprise against established objectives and policies;
(h) consulting with senior subordinate staff and reviewing recommendations and reports;
(i) representing the organization at official occasions and board meetings, in negotiations and at conventions, seminars, public hearings and forums; 
(j) selecting or approving the selection of senior staff;
(k) ensuring the organization complies with relevant legislation and regulations.
Examples of the occupations classified here:
-  Chief executive
-  Managing director
-  Regional manager

Note
Regional managers and other senior managers who coordinate and supervise the activities of subordinate managers who have a diverse range of functional responsibilities are included in Unit Group 1120: Managing Directors and Chief Executives. Managers responsible for specialized functions within a specific geographic area are excluded from this unit group. For example, regional sales managers are classified in Unit Group 1221: Sales and Marketing Managers. Jobs whose principal responsibility is to participate as a member of the board of directors of one or more enterprises or organizations are included in Unit Group 1120: Managing Directors and Chief Executives. Chief executives of government-owned enterprises are included in Unit Group 1120: Managing Directors and Chief Executives.
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,12,Administrative and commercial managers,"Administrative and commercial managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy, planning, research and development, advertising, public relations, and sales and marketing activities of enterprises and organizations, or of enterprises that provide such services to other enterprises and organizations. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level
Tasks performed by workers in this sub-major group usually include: formulating and administering policy advice and strategic and financial planning; establishing and directing operational and administrative procedures; implementing, monitoring and evaluating strategies and policies; providing advice to senior managers; directing the development of initiatives for new products, marketing, public relations and advertising campaigns; determining and directing sales activities, product mix and customer service standards; setting prices and credit arrangements; ensuring compliance with relevant legislation, regulations and standards; controlling selection, training and performance of staff; preparing budgets and overseeing financial operations; consulting with the chief executive and with managers of other departments or sections; controlling expenditure and ensuring the efficient use of resources; representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums.
Occupations in this sub-major group are classified into the following minor groups:
121 Business Services and Administration Managers
122 Sales, Marketing and Development Managers
Notes
Specialized qualifications and extensive experience relevant to one or more occupations classified in Major Group 2: Professionals, or Major Group 3: Technicians and Associate Professionals, are usually required. Regional managers and other senior managers who coordinate and supervise the activities of subordinate managers who have a diverse range of functional responsibilities are included in Unit Group 1120:  Managing Directors and Chief Executives.
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,121,Business services and administration managers,"Business services and administration managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy and planning activities of organizations, or of enterprises that provide such services to other enterprises and organizations.
Tasks performed usually include: formulating and administering policy advice. and strategic and financial planning; establishing and directing operational and administrative procedures; implementing, monitoring and evaluating strategies and policies; providing advice to senior managers and board members on financial, administrative, strategic, policy, programme and legislative issues; ensuring compliance with relevant legislation, regulations and standards; controlling selection, training and performance of staff; preparing budgets and overseeing financial operations; consulting with the chief executive and with managers of other departments or sections; controlling expenditure and ensuring the efficient use of resources; representing the organization in negotiations, and at conventions, seminars, public hearings and forums.
Occupations in this minor group are classified into the following unit groups:
1211 Finance Managers
1212 Human Resource Managers
1213 Policy and Planning Managers
1219 Business Services and Administration Managers Not Elsewhere Classified
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1211,Finance managers,"Finance managers plan, direct and coordinate the financial operations of an enterprise or organization, in consultation with senior managers and with managers of other departments or sections, or of enterprises that provide financial services to other enterprises and organizations.
Tasks include -
(a)  planning, directing and coordinating the financial operations of an enterprise or organization;
(b)  assessing the financial situation of the enterprise or organization, preparing budgets and overseeing financial operations;
(c)  consulting with the chief executive and with managers of other departments or sections;
(d)  establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;
(e)  establishing and directing operational and administrative procedures;
(f)  planning and directing daily operations;
(g)  overseeing the selection, training and performance of staff;
(h)  representing the enterprise or organization in dealings with outside bodies.
Examples of the occupations classified here:
-  Company secretary
-  Finance manager
Some related occupations classified elsewhere:
-  Financial institution branch manager - 1346
-  Financial controller - 2411
-  Management accountant - 2411
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1212,Human resource managers,"Human resource managers plan, direct and coordinate policies concerning the personnel, industrial relations and occupational health and safety activities of an enterprise or organization, or of enterprises that provide human resource services to other enterprises and organizations.
Tasks include -
(a)  planning, directing and coordinating the personnel and industrial relations activities, policies and practices of an enterprise or organization;
(b)  planning and organizing procedures for recruitment, training, promotion, transfer and dismissal of staff;
(c)  planning and organizing negotiations and procedures for determination of wage structures and level and for consultation with workers on conditions of employment;
(d)  overseeing safety, health and related programmes and activities;
(e)  establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;
(f)  establishing and directing operational and administrative procedures;
(g)  overseeing the development and implementation of management information systems;
(h)  ensuring compliance with standards and legislation relating to employees",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
